,delta,fut_rate,Лимит по абсорбир.
2016-08-09,0.09999999999999963,0.0,100.0
2016-08-30,0.0,0.0,280.0
2016-09-06,0.09999999999999963,0.0,190.0
2016-09-13,0.01999999999999957,-0.5,400.0
2016-09-27,0.15000000000000036,0.0,180.0
2016-10-04,0.0,0.0,620.0
2016-10-11,0.0,0.0,140.0
2016-10-18,0.0,0.0,400.0
2016-10-25,0.0,0.0,550.0
2016-11-01,0.0,0.0,530.0
2016-11-08,0.0,0.0,520.0
2016-11-15,0.0,0.0,310.0
2016-11-22,0.0,0.0,390.0
2016-11-29,0.0,0.0,330.0
2016-12-06,0.0,0.0,320.0
2016-12-13,0.0,0.0,290.0
2016-12-20,0.0,0.0,410.0
2016-12-27,0.0,0.0,620.0
2017-01-10,0.0,0.0,600.0
2017-01-17,0.0,0.0,720.0
2017-01-24,0.0,0.0,710.0
2017-01-31,0.0600000000000005,0.0,320.0
2017-02-07,0.0,0.0,710.0
2017-02-14,0.0,0.0,870.0
2017-02-21,0.01999999999999957,0.0,440.0
2017-02-28,0.009999999999999787,0.0,780.0
2017-03-07,0.009999999999999787,0.0,780.0
2017-03-14,0.05000000000000071,0.0,880.0
2017-03-21,0.09999999999999963,-0.25,600.0
2017-03-28,0.10999999999999943,0.0,320.0
2017-04-04,0.0,0.0,740.0
2017-04-11,0.0,0.0,810.0
2017-04-18,0.0,0.0,870.0
2017-04-25,0.09999999999999963,-0.5,360.0
2017-05-02,0.1999999999999993,0.0,190.0
2017-05-05,0.0,0.0,720.0
2017-05-16,0.009999999999999787,0.0,630.0
2017-05-23,0.0,0.0,490.0
2017-05-30,0.0,0.0,590.0
2017-06-06,0.0,0.0,680.0
2017-06-13,0.009999999999999787,-0.25,590.0
2017-06-20,0.009999999999999787,0.0,410.0
2017-06-27,0.01999999999999957,0.0,470.0
2017-07-04,0.0,0.0,550.0
2017-07-11,0.0,0.0,540.0
2017-07-18,0.0,0.0,690.0
2017-07-25,0.0,0.0,600.0
2017-08-01,0.0,0.0,750.0
2017-08-08,0.0,0.0,870.0
2017-08-15,0.0,0.0,1150.0
2017-08-22,0.0,0.0,1000.0
2017-08-29,0.0,0.0,1200.0
2017-09-05,0.0,0.0,1090.0
2017-09-12,0.05000000000000071,-0.5,910.0
2017-09-19,0.07000000000000027,0.0,700.0
2017-09-26,0.0,0.0,1050.0
2017-10-03,0.0,0.0,1360.0
2017-10-10,0.0,0.0,1650.0
2017-10-17,0.0,0.0,1640.0
2017-10-24,0.029999999999999364,-0.25,1110.0
2017-10-31,0.0,0.0,1280.0
2017-11-07,0.0,0.0,1700.0
2017-11-14,0.0,0.0,1590.0
2017-11-21,0.0,0.0,1820.0
2017-11-28,0.0,0.0,1420.0
2017-12-05,0.0,0.0,1570.0
2017-12-12,0.0,-0.5,2370.0
2017-12-19,0.0,0.0,2360.0
2017-12-26,0.0,0.0,2430.0
2018-01-09,0.0,0.0,2790.0
2018-01-16,0.0,0.0,2810.0
2018-01-23,0.01999999999999957,0.0,2500.0
2018-01-30,0.0,0.0,3000.0
2018-02-06,0.03000000000000025,-0.25,2830.0
2018-02-13,0.0,0.0,3350.0
2018-02-20,0.0,0.0,2800.0
2018-02-27,0.0,0.0,2440.0
2018-03-06,0.0,0.0,2830.0
2018-03-13,0.0,0.0,3670.0
2018-03-20,0.0,-0.25,2900.0
2018-03-27,0.0,0.0,2750.0
2018-04-03,0.0,0.0,2730.0
2018-04-10,0.0,0.0,2700.0
2018-04-17,0.0,0.0,2900.0
2018-04-24,0.0,0.0,2500.0
2018-04-28,0.0,0.0,2700.0
2018-05-08,0.0,0.0,3100.0
2018-05-15,0.0,0.0,3220.0
2018-05-22,0.0,0.0,3100.0
2018-05-29,0.0,0.0,3100.0
2018-06-05,0.0,0.0,2800.0
2018-06-09,0.0,0.0,3270.0
2018-06-19,0.0,0.0,2940.0
2018-06-26,0.0,0.0,2640.0
2018-07-03,0.0,0.0,3360.0
2018-07-10,0.009999999999999787,0.0,2870.0
2018-07-17,0.0,0.0,3110.0
2018-07-24,0.0,0.0,2290.0
2018-07-31,0.0,0.0,2180.0
2018-08-07,0.0,0.0,2700.0
2018-08-14,0.0,0.0,3080.0
2018-08-21,0.0,0.0,2590.0
2018-08-28,0.0,0.0,2270.0
2018-09-04,0.0,0.0,2180.0
2018-09-11,0.0,0.25,2850.0
2018-09-18,0.0,0.0,2700.0
2018-09-25,0.0,0.0,2180.0
2018-10-02,0.0,0.0,2310.0
2018-10-09,0.009999999999999787,0.0,1630.0
2018-10-16,0.0,0.0,2160.0
2018-10-23,0.009999999999999787,0.0,1680.0
2018-10-30,0.01999999999999957,0.0,1950.0
2018-11-06,0.0,0.0,1970.0
2018-11-13,0.0,0.0,2080.0
2018-11-20,0.0,0.0,1810.0
2018-11-27,0.0,0.0,1730.0
2018-12-04,0.01999999999999957,0.0,1330.0
2018-12-11,0.0,0.25,2100.0
2018-12-18,0.0,0.0,1710.0
2018-12-25,0.0,0.0,1480.0
2019-01-09,0.0,0.0,1870.0
2019-01-15,0.0,0.0,1540.0
2019-01-22,0.0,0.0,1140.0
2019-01-29,0.0,0.0,1790.0
2019-02-05,0.0,0.0,1680.0
2019-02-12,0.0,0.0,2170.0
2019-02-19,0.0,0.0,1990.0
2019-02-26,0.0,0.0,2340.0
2019-03-05,0.0,0.0,2160.0
2019-03-12,0.0,0.0,2150.0
2019-03-19,0.009999999999999787,0.0,1970.0
2019-03-26,0.009999999999999787,0.0,1680.0
2019-04-02,0.0,0.0,1860.0
2019-04-09,0.0,0.0,1710.0
2019-04-16,0.0,0.0,1650.0
2019-04-23,0.01999999999999957,0.0,1250.0
2019-04-30,0.0,0.0,1000.0
2019-05-07,0.01999999999999957,0.0,1210.0
2019-05-14,0.0,0.0,1510.0
2019-05-21,0.009999999999999787,0.0,1200.0
2019-05-28,0.0,0.0,1120.0
2019-06-04,0.0,0.0,1120.0
2019-06-11,0.03000000000000025,-0.25,1280.0
2019-06-18,0.0,0.0,960.0
2019-06-25,0.0,0.0,850.0
2019-07-02,0.0,0.0,1180.0
2019-07-09,0.03000000000000025,0.0,900.0
2019-07-16,0.009999999999999787,0.0,1350.0
2019-07-23,0.05999999999999961,-0.25,1070.0
2019-07-30,0.0,0.0,1330.0
2019-08-06,0.0,0.0,1670.0
2019-08-13,0.0,0.0,2390.0
2019-08-20,0.009999999999999787,0.0,2320.0
2019-08-27,0.0,0.0,2400.0
2019-09-03,0.03000000000000025,-0.25,2360.0
2019-09-10,0.009999999999999787,0.0,2640.0
2019-09-17,0.0,0.0,2870.0
2019-09-24,0.009999999999999787,0.0,2180.0
2019-10-01,0.0,0.0,2980.0
2019-10-08,0.0,0.0,2800.0
2019-10-15,0.03000000000000025,0.0,2650.0
2019-10-22,0.049999999999999815,-0.5,2240.0
2019-10-29,0.0,0.0,1750.0
2019-11-05,0.0,0.0,2210.0
2019-11-12,0.0,0.0,2310.0
2019-11-19,0.0,0.0,1800.0
2019-11-26,0.0,0.0,1630.0
2019-12-03,0.0,0.0,1390.0
2019-12-10,0.049999999999999815,-0.25,1640.0
2019-12-17,0.049999999999999815,0.0,1230.0
2019-12-24,0.08000000000000007,0.0,600.0
2019-12-30,0.09999999999999963,0.0,700.0
2020-01-09,0.03000000000000025,0.0,1280.0
2020-01-14,0.01999999999999957,0.0,1450.0
2020-01-21,0.01999999999999957,0.0,1650.0
2020-01-28,0.01999999999999957,0.0,1620.0
2020-02-04,0.01999999999999957,-0.25,2060.0
2020-02-11,0.0,0.0,2130.0
2020-02-18,0.01999999999999957,0.0,2170.0
2020-02-25,0.01999999999999957,0.0,1920.0
2020-03-03,0.0,0.0,1920.0
2020-03-10,0.0,0.0,2530.0
2020-03-17,0.0,0.0,2600.0
2020-03-24,0.0,0.0,1770.0
2020-03-31,0.0,0.0,2270.0
2020-04-07,0.040000000000000036,0.0,1050.0
2020-04-14,0.040000000000000036,0.0,1130.0
2020-04-21,0.049999999999999815,-0.5,650.0
2020-04-28,0.08000000000000007,0.0,410.0
2020-05-06,0.0,0.0,670.0
2020-05-12,0.08000000000000007,0.0,540.0
2020-05-19,0.08999999999999986,0.0,700.0
2020-05-26,0.049999999999999815,0.0,770.0
2020-06-02,0.0,0.0,1110.0
2020-06-09,0.049999999999999815,0.0,1460.0
2020-06-16,0.21999999999999972,-1.0,1320.0
2020-06-23,0.049999999999999815,0.0,1160.0
2020-06-30,0.0,0.0,1270.0
2020-07-07,0.049999999999999815,0.0,1330.0
2020-07-14,0.08000000000000007,0.0,1700.0
2020-07-21,0.16000000000000014,-0.25,1460.0
2020-07-28,0.049999999999999815,0.0,1750.0
2020-08-04,0.009999999999999787,0.0,1700.0
2020-08-11,0.0,0.0,1490.0
2020-08-18,0.0,0.0,1760.0
2020-08-25,0.0,0.0,1420.0
2020-09-01,0.0,0.0,2260.0
2020-09-08,0.0,0.0,1600.0
2020-09-15,0.0,0.0,1810.0
2020-09-22,0.0,0.0,1370.0
2020-09-29,0.0,0.0,1240.0
2020-10-06,0.009999999999999787,0.0,1170.0
2020-10-13,0.0,0.0,1890.0
2020-10-20,0.0,0.0,1330.0
2020-10-27,0.0,0.0,1390.0
2020-11-03,0.0,0.0,1660.0
2020-11-10,0.0,0.0,1770.0
2020-11-17,0.0,0.0,1760.0
2020-11-24,0.0,0.0,1850.0
2020-12-01,0.0,0.0,2200.0
2020-12-08,0.01999999999999957,0.0,1140.0
2020-12-15,0.03000000000000025,0.0,760.0
2020-12-22,0.08000000000000007,0.0,360.0
2020-12-29,0.0,0.0,1550.0
2021-01-12,0.0,0.0,1080.0
2021-01-19,0.07000000000000027,0.0,400.0
2021-01-26,0.0,0.0,560.0
